Rank,Title,Popularity,Genre,Studio,Type,Episodes,Duration,Start_date,End_date,Members,Score
1,Shingeki no Kyojin: The Final Season - Kanketsu-hen,609,"Action, Drama, Suspense",MAPPA,Special,2,61,Mar-23,2023,347875,9.17
2,Fullmetal Alchemist: Brotherhood,3,"Action, Adventure, Drama, Fantasy",Bones,TV,64,24,Apr-09,Jul-10,3109951,9.11
3,Bleach: Sennen Kessen-hen,508,"Action, Adventure, Fantasy",Pierrot,TV,13,24,Oct-22,Dec-22,404036,9.09
4,Steins;Gate,13,"Drama, Sci-Fi, Suspense",White Fox,TV,24,24,Apr-11,Sep-11,2393767,9.08
5,Gintama°,335,"Action, Comedy, Sci-Fi",Bandai Namco Pictures,TV,51,24,Apr-15,Mar-16,581994,9.07
6,Kaguya-sama wa Kokurasetai: Ultra Romantic,221,"Comedy, Romance",A-1 Pictures,TV,13,23,Apr-22,Jun-22,772019,9.06
7,Shingeki no Kyojin Season 3 Part 2,26,"Action, Drama",Wit Studio,TV,10,23,Apr-19,Jul-19,2045115,9.06
8,Gintama: The Final,1581,"Action, Comedy, Drama, Sci-Fi",Bandai Namco Pictures,Movie,1,104,Jan-21,Jan-21,126411,9.05
9,Gintama',385,"Action, Comedy, Sci-Fi",Sunrise,TV,51,24,Apr-11,Mar-12,513321,9.04
10,Hunter x Hunter (2011),10,"Action, Adventure, Fantasy",Madhouse,TV,148,23,Oct-11,Sep-14,2596435,9.04
11,Ginga Eiyuu Densetsu,724,"Drama, Sci-Fi","K-Factory, Kitty Film Mitaka Studio",OVA,110,26,Jan-88,Mar-97,299874,9.03
12,Gintama': Enchousen,712,"Action, Comedy, Sci-Fi",Sunrise,TV,13,24,Oct-12,Mar-13,303048,9.03
13,Fruits Basket: The Final,494,"Drama, Romance, Supernatural",TMS Entertainment,TV,13,23,Apr-21,Jun-21,412917,9.01
14,Gintama.,744,"Action, Comedy, Sci-Fi",Bandai Namco Pictures,TV,12,24,Jan-17,Mar-17,291330,8.99
15,Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,1872,"Comedy, Drama, Romance",A-1 Pictures,Movie,1,96,Dec-22,Dec-22,100847,8.95
16,3-gatsu no Lion 2nd Season,550,"Drama, Slice of Life",Shaft,TV,22,25,Oct-17,Mar-18,376498,8.94
17,Clannad: After Story,111,"Drama, Romance, Supernatural",Kyoto Animation,TV,24,24,Oct-08,Mar-09,1134162,8.94
18,Gintama,138,"Action, Comedy, Sci-Fi",Sunrise,TV,201,24,Apr-06,Mar-10,1006869,8.94
19,Koe no Katachi,19,"Award Winning, Drama",Kyoto Animation,Movie,1,130,Sep-16,Sep-16,2142847,8.94
20,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,960,"Action, Comedy, Sci-Fi",Sunrise,Movie,1,110,Jul-13,Jul-13,224966,8.92
21,Bocchi the Rock!,597,Comedy,CloverWorks,TV,12,23,Oct-22,Dec-22,354287,8.91
22,Code Geass: Hangyaku no Lelouch R2,47," Action, Award Winning, Drama, Sci-Fi",Sunrise,TV,25,24,Apr-08,Sep-08,1670371,8.91
23,Violet Evergarden Movie,375,"Award Winning, Drama, Fantasy",Kyoto Animation,Movie,1,140,Sep-20,Sep-20,524302,8.91
24,Owarimonogatari 2nd Season,557,"Comedy, Mystery, Supernatural",Shaft,TV,7,22,Aug-17,Aug-17,373320,8.89
25,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,1187,"Action, Comedy, Sci-Fi",Bandai Namco Pictures,TV,14,24,Jul-18,Oct-18,180818,8.88
26,Monster,145,"Drama, Mystery, Suspense",Madhouse,TV,74,24,Apr-04,Sep-05,973346,8.86
27,Kimi no Na wa.,11,"Award Winning, Drama, Supernatural",CoMix Wave Films,Movie,1,106,Aug-16,Aug-16,2541050,8.85
28,Gintama.: Shirogane no Tamashii-hen,1106,"Action, Comedy, Sci-Fi",Bandai Namco Pictures,TV,12,24,Jan-18,Mar-18,195242,8.81
29,Kimetsu no Yaiba: Yuukaku-hen,108,"Action, Fantasy",ufotable,TV,11,26,Dec-21,Feb-22,1161501,8.81
30,Kingdom 3rd Season,2064,Action,"Pierrot, Studio Signpost",TV,26,25,Apr-20,Oct-21,87348,8.81
31,Mob Psycho 100 II,76,"Action, Comedy, Supernatural",Bones,TV,13,24,Jan-19,Apr-19,1396286,8.8
